cuadro,categoria,region,valor
Categorias,Estacional,Patagonia,12.4
Categorias,Núcleo,GBA,67.0
Categorias,Núcleo,Pampeana,68.7
Categorias,Núcleo,Noreste,69.89999999999999
Categorias,Núcleo,Noroeste,69.3
Categorias,Núcleo,Cuyo,67.5
Categorias,Núcleo,Patagonia,67.60000000000001
Categorias,Regulados,GBA,22.8
Categorias,Regulados,Pampeana,19.3
Categorias,Regulados,Noreste,17.7
Categorias,Regulados,Noroeste,17.9
Categorias,Regulados,Cuyo,20.8
Categorias,Regulados,Patagonia,20.0
Bienes y servicios,Bienes,GBA,59.3
Bienes y servicios,Bienes,Pampeana,70.1
Bienes y servicios,Bienes,Noreste,77.4
Bienes y servicios,Bienes,Noroeste,75.2
Bienes y servicios,Bienes,Cuyo,71.2
Bienes y servicios,Bienes,Patagonia,71.3
Bienes y servicios,Servicios,GBA,40.699999999999996
Bienes y servicios,Servicios,Pampeana,29.9
Bienes y servicios,Servicios,Noreste,22.6
Bienes y servicios,Servicios,Noroeste,24.8
Bienes y servicios,Servicios,Cuyo,28.799999999999997
Bienes y servicios,Servicios,Patagonia,28.7
